Codigo	Matricula	Fecha Matriculacion	Marca	Modelo	Tipo	Variante	Clasificacion medioambiental	Combustible	Cilindrada	Potencia	Numero de Plazas	Fecha inicio de prestacion del servicio de taxi	Eurotaxi	Regimen Especial de Eurotaxi	Fecha inicio Regimen Especial Eurotaxi	Fecha fin Regimen Especial Eurotaxi	Fecha
1526857	3690KPY	18/10/18	CITROEN	CITROEN C-ELYSEE eco-glv	F	FECE	ECO	GLP / GASOLINA	1587	85	5	19/10/18	NO	NO			3/11/18
1526844	3469KPY	18/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	19/10/18	NO	NO			3/11/18
1527097	8304KPY	18/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	24/10/18	NO	NO			3/11/18
1527095	8289KPY	18/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	24/10/18	NO	NO			3/11/18
1527107	3414KPY	18/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	26/10/18	NO	NO			3/11/18
1527111	8427KPY	18/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	26/10/18	NO	NO			3/11/18
1527114	8347KPY	18/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	31/10/18	NO	NO			3/11/18
1526859	3435KPY	18/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	22/10/18	NO	NO			3/11/18
1526978	8253KPY	18/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	24/10/18	NO	NO			3/11/18
1526964	8226KPY	18/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	22/10/18	NO	NO			3/11/18
1526962	3424KPY	18/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	22/10/18	NO	NO			3/11/18
1527104	8398KPY	18/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	26/10/18	NO	NO			3/11/18
1526970	2566KPY	17/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	22/10/18	NO	NO			3/11/18
1527213	0903KPY	17/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	26/10/18	NO	NO			3/11/18
1527144	0060KPY	17/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	24/10/18	NO	NO			3/11/18
1526883	8537KPX	17/10/18	LEXUS	IS300h	XE2(a)	AVE30(E)	ECO	GASOLINA-ELECTRICIDAD	2494	133	5	19/10/18	NO	NO			3/11/18
1526988	1373KPY	17/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	24/10/18	NO	NO			3/11/18
1526984	9587KPX	17/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	24/10/18	NO	NO			3/11/18
1526981	2904KPY	17/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	24/10/18	NO	NO			3/11/18
1525659	3735KPX	16/10/18	DACIA	LODGY	SD	0JES	ECO	GLP / GASOLINA	1598	80	5	24/10/18	NO	NO			3/11/18
1526881	3239KPX	16/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	19/10/18	NO	NO			3/11/18
1525663	5799KPX	16/10/18	FIAT	FIAT TIPO	356	SXF1B	ECO	GLP / GASOLINA	1368	88	5	17/10/18	NO	NO			3/11/18
