codigo	matricula	fecha_matriculacion	marca	modelo	tipo	variante	clasificacion_medioambiental	combustible	cilindrada	potencia	numero_plazas	fecha_inicio_prestacion_servicio	eurotaxi	regimen_especial_eurotaxi	fecha_ini_reg_esp_eur	fecha_fin_reg_esp_eur	fecha_informe	
1527473	0398KRC	2018-10-24	DACIA	LODGY	SD	0JES	ECO	GLP / GASOLINA	1598	80	5	2018-10-29	FALSE	FALSE			2018-11-03	
1527567	9509KRB	2018-10-24	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2018-10-31	FALSE	FALSE			2018-11-03	
1527617	8479KRB	2018-10-24	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2018-10-31	FALSE	FALSE			2018-11-03	
1527366	5696KRB	2018-10-24	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2018-10-29	FALSE	FALSE			2018-11-03	
1527519	0138KRC	2018-10-24	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2018-10-29	FALSE	FALSE			2018-11-03	
1527363	0244KRC	2018-10-24	VOLKSWAGEN	CADDY	2K	AFCPWA??	ECO	GASOLINA - GAS NATURAL	1395	81	7	2018-10-26	FALSE	FALSE			2018-11-03	
1527371	0388KRC	2018-10-24	VOLKSWAGEN	CADDY	2K	AFCPWA??	ECO	GASOLINA - GAS NATURAL	1395	81	7	2018-10-29	FALSE	FALSE			2018-11-03	
1527297	0418KRB	2018-10-23	CITROEN	CITROEN C-ELYSEE eco-glv	F	FECE	ECO	GLP / GASOLINA	1587	85	5	2018-10-26	FALSE	FALSE			2018-11-03	
1527479	2501KRB	2018-10-23	DACIA	LODGY	SD	0JES	ECO	GLP / GASOLINA	1598	80	5	2018-10-29	FALSE	FALSE			2018-11-03	
1527241	9823KPZ	2018-10-23	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-10-29	FALSE	FALSE			2018-11-03	
1527358	0511KRB	2018-10-23	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-10-26	FALSE	FALSE			2018-11-03	
1527202	0941KRB	2018-10-23	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-10-24	FALSE	FALSE			2018-11-03	
1527442	4176KRB	2018-10-23	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-10-29	FALSE	FALSE			2018-11-03	
1527304	0144KRB	2018-10-23	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2018-10-26	FALSE	FALSE			2018-11-03	
1527613	0968KRB	2018-10-23	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2018-10-31	FALSE	FALSE			2018-11-03	
1527300	5567KPZ	2018-10-22	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-11-02	FALSE	FALSE			2018-11-03	
1527186	4976KPZ	2018-10-22	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-10-24	FALSE	FALSE			2018-11-03	
1527625	6289KPZ	2018-10-22	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-10-31	FALSE	FALSE			2018-11-03	
1527360	8409KPZ	2018-10-22	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-10-26	FALSE	FALSE			2018-11-03	
1527476	6595KPZ	2018-10-22	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2018-10-29	FALSE	FALSE			2018-11-03	
1526902	6325KPB	2018-10-19	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-10-22	FALSE	FALSE			2018-11-03	
1527200	9462KPY	2018-10-19	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-10-24	FALSE	FALSE			2018-11-03	
1527101	4097KPZ	2018-10-19	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-10-24	FALSE	FALSE			2018-11-03	
1527194	4011KPZ	2018-10-19	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2018-10-24	FALSE	FALSE			2018-11-03	
1527146	0231KPZ	2018-10-19	VOLKSWAGEN	CADDY	2K	AFCPWA??	ECO	GASOLINA - GAS NATURAL	1395	81	7	2018-10-24	FALSE	FALSE			2018-11-03	
1526857	3690KPY	2018-10-18	CITROEN	CITROEN C-ELYSEE eco-glv	F	FECE	ECO	GLP / GASOLINA	1587	85	5	2018-10-19	FALSE	FALSE			2018-11-03	
1526844	3469KPY	2018-10-18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-10-19	FALSE	FALSE			2018-11-03	
1527097	8304KPY	2018-10-18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-10-24	FALSE	FALSE			2018-11-03	
